п/п;Бригада;Дата;Код;sample;Участок;Тип;ПР;ПК;H;D0;D1;D2;D3;D4;D5;L1;L2;L3;L4;Примечания;Крат_ПР;Крат_ПК;Дубль
643;Захарова А.Е;06.12.2021;1700-0720;DG66-1700-0720;DG;66;1700;0720;0,4;В;4;7;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
644;Захарова А.Е;06.13.2021;1620-0820;DG66-1620-0820;DG;66;1620;0820;0,4;В;4;5;2;2;2;5;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
645;Захарова А.Е;06.13.2021;1620-0800;DG66-1620-0800;DG;66;1620;0800;0,4;В;4;4;2;2;2;5;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
646;Захарова А.Е;06.13.2021;1620-0780;DG66-1620-0780;DG;66;1620;0780;0,4;В;4;4;2;1;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
647;Захарова А.Е;06.13.2021;1620-0760;DG66-1620-0760;DG;66;1620;0760;0,4;В;4;4;3;1;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
648;Захарова А.Е;06.13.2021;1620-0740;-1620-0740;;;1620;0740;;;;;;;;;;;;Проба не отбиралась, болото;ИСТИНА;ИСТИНА;ЛОЖЬ
649;Захарова А.Е;06.13.2021;1620-0720;-1620-0720;;;1620;0720;;;;;;;;;;;;Проба не отбиралась, болото;ИСТИНА;ИСТИНА;ЛОЖЬ
650;Захарова А.Е;06.13.2021;1620-0700;DG66-1620-0700;DG;66;1620;0700;0,5;В;4;6;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
651;Захарова А.Е;06.13.2021;1620-0680;DG66-1620-0680;DG;66;1620;0680;0,4;В;4;6;3;3;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
652;Захарова А.Е;06.13.2021;1620-0660;DG66-1620-0660;DG;66;1620;0660;0,6;В;4;6;4;3;2;1;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
653;Захарова А.Е;06.13.2021;1620-0640;DG66-1620-0640;DG;66;1620;0640;0,4;В;4;6;3;2;2;1;2;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
654;Захарова А.Е;06.13.2021;1620-0620;DG66-1620-0620;DG;66;1620;0620;0,4;В;4;6;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
655;Захарова А.Е;06.13.2021;1600-0620;DG66-1600-0620;DG;66;1600;0620;0,4;В;4;4;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
656;Захарова А.Е;06.13.2021;1600-0640;DG66-1600-0640;DG;66;1600;0640;0,4;В;4;6;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
657;Захарова А.Е;06.13.2021;1600-0660;DG66-1600-0660;DG;66;1600;0660;0,4;В;4;4;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
658;Захарова А.Е;06.13.2021;1600-0680;DG66-1600-0680;DG;66;1600;0680;0,5;В;4;5;2;2;2;2;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
659;Захарова А.Е;06.13.2021;1600-0700;DG66-1600-0700;DG;66;1600;0700;0,5;В;4;5;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
660;Захарова А.Е;06.13.2021;1600-0720;DG66-1600-0720;DG;66;1600;0720;0,5;В;4;9;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
661;Захарова А.Е;06.13.2021;1600-0740;DG66-1600-0740;DG;66;1600;0740;0,4;В;4;8;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
662;Захарова А.Е;06.13.2021;1600-0760;DG66-1600-0760;DG;66;1600;0760;0,5;В;4;7;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
663;Захарова А.Е;06.13.2021;1600-0780;-1600-0780;;;1600;0780;;;;;;;;;;;;Проба не отбиралась, болото;ИСТИНА;ИСТИНА;ЛОЖЬ
664;Захарова А.Е;06.13.2021;1600-0800;-1600-0800;;;1600;0800;;;;;;;;;;;;Проба не отбиралась, болото;ИСТИНА;ИСТИНА;ЛОЖЬ
665;Захарова А.Е;06.13.2021;1600-0820;DG66-1600-0820;DG;66;1600;0820;0,5;В;4;6;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
666;Захарова А.Е;06.13.2021;1600-0840;DG66-1600-0840;DG;66;1600;0840;0,7;В;4;6;3;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
667;Захарова А.Е;06.13.2021;1600-0860;DG66-1600-0860;DG;66;1600;0860;0,6;В;4;5;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
668;Захарова А.Е;06.13.2021;1600-0880;DG66-1600-0880;DG;66;1600;0880;0,4;В;5;5;2;3;2;3;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
669;Захарова А.Е;06.13.2021;1600-0900;DG66-1600-0900;DG;66;1600;0900;0,5;В;5;5;2;2;2;3;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
670;Захарова А.Е;06.13.2021;1600-0920;DG06-1600-0920;DG;06;1600;0920;0,4;В;5;5;2;3;2;3;5;2;1;;ИСТИНА;ИСТИНА;ЛОЖЬ
671;Захарова А.Е;06.13.2021;1600-0940;DG06-1600-0940;DG;06;1600;0940;0,5;В;5;6;3;2;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
672;Захарова А.Е;06.13.2021;1600-0960;DG06-1600-0960;DG;06;1600;0960;0,6;В;4;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
673;Захарова А.Е;06.13.2021;1600-0980;DG06-1600-0980;DG;06;1600;0980;0,8;В;4;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
674;Захарова А.Е;06.13.2021;1620-0920;DG06-1620-0920;DG;06;1620;0920;0,3;В;4;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
675;Захарова А.Е;06.13.2021;1620-0900;DG06-1620-0900;DG;06;1620;0900;0,3;В;5;4;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
676;Захарова А.Е;06.13.2021;1620-0880;DG06-1620-0880;DG;06;1620;0880;0,4;В;5;4;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
677;Захарова А.Е;06.13.2021;1620-0860;DG06-1620-0860;DG;06;1620;0860;0,4;В;5;5;2;2;2;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
678;Захарова А.Е;06.13.2021;1620-0840;DG66-1620-0840;DG;66;1620;0840;0,5;В;5;6;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
679;Захарова А.Е;06.15.2021;1520-1320;DG66-1520-1320;DG;66;1520;1320;0,6;В;3;7;3;1;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
680;Захарова А.Е;06.15.2021;1520-1300;DG66-1520-1300;DG;66;1520;1300;0,3;В;3;6;3;1;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
681;Захарова А.Е;06.15.2021;1520-1280;DG66-1520-1280;DG;66;1520;1280;0,6;В;3;3;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
682;Захарова А.Е;06.15.2021;1520-1260;DG66-1520-1260;DG;66;1520;1260;0,5;В;3;3;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
683;Захарова А.Е;06.15.2021;1520-1240;DG06-1520-1240;DG;06;1520;1240;0,5;В;3;5;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
684;Захарова А.Е;06.15.2021;1520-1220;DG06-1520-1220;DG;06;1520;1220;0,8;В;3;5;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
685;Захарова А.Е;06.15.2021;1520-1200;DG06-1520-1200;DG;06;1520;1200;0,4;В;3;3;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
686;Захарова А.Е;06.15.2021;1520-1180;DG06-1520-1180;DG;06;1520;1180;0,3;В;3;3;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
687;Захарова А.Е;06.15.2021;1520-1160;DG06-1520-1160;DG;06;1520;1160;0,3;В;3;3;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
688;Захарова А.Е;06.15.2021;1520-1140;DG06-1520-1140;DG;06;1520;1140;0,4;В;3;3;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
689;Захарова А.Е;06.15.2021;1520-1120;DG06-1520-1120;DG;06;1520;1120;0,4;В;3;3;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
690;Захарова А.Е;06.15.2021;1520-1100;DG06-1520-1100;DG;06;1520;1100;0,5;В;3;3;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
691;Захарова А.Е;06.15.2021;1520-1080;DG06-1520-1080;DG;06;1520;1080;0,3;В;3;5;2;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
692;Захарова А.Е;06.15.2021;1520-1060;DG06-1520-1060;DG;06;1520;1060;0,8;В;3;5;2;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
693;Захарова А.Е;06.15.2021;1520-1040;DG06-1520-1040;DG;06;1520;1040;0,6;В;3;5;2;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
694;Захарова А.Е;06.15.2021;1520-1020;DG06-1520-1020;DG;06;1520;1020;0,6;В;3;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
695;Захарова А.Е;06.15.2021;1520-1000;DG06-1520-1000;DG;06;1520;1000;0,6;В;3;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
696;Захарова А.Е;06.15.2021;1520-0980;DG06-1520-0980;DG;06;1520;0980;0,8;В;3;4;2;1;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
697;Захарова А.Е;06.15.2021;1500-0980;DG06-1500-0980;DG;06;1500;0980;0,7;В;3;4;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
698;Захарова А.Е;06.15.2021;1500-1000;DG06-1500-1000;DG;06;1500;1000;0,5;В;5;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
699;Захарова А.Е;06.15.2021;1500-1020;DG06-1500-1020;DG;06;1500;1020;0,5;В;5;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
700;Захарова А.Е;06.15.2021;1500-1040;DG06-1500-1040;DG;06;1500;1040;0,3;В;5;5;2;1;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
701;Захарова А.Е;06.15.2021;1500-1060;DG06-1500-1060;DG;06;1500;1060;0,4;В;3;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
702;Захарова А.Е;06.15.2021;1500-1080;DG06-1500-1080;DG;06;1500;1080;0,5;В;3;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
703;Захарова А.Е;06.15.2021;1500-1100;DG06-1500-1100;DG;06;1500;1100;0,5;В;3;5;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
704;Захарова А.Е;06.15.2021;1500-1120;DG06-1500-1120;DG;06;1500;1120;0,5;В;3;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
705;Захарова А.Е;06.15.2021;1500-1140;DG06-1500-1140;DG;06;1500;1140;0,5;В;3;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
706;Захарова А.Е;06.15.2021;1500-1160;DG06-1500-1160;DG;06;1500;1160;0,6;В;3;6;3;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
707;Захарова А.Е;06.15.2021;1500-1180;DG06-1500-1180;DG;06;1500;1180;0,5;В;3;5;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
708;Захарова А.Е;06.15.2021;1500-1200;DG06-1500-1200;DG;06;1500;1200;0,5;В;5;6;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
709;Захарова А.Е;06.15.2021;1500-1220;DG06-1500-1220;DG;06;1500;1220;0,6;В;5;3;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
710;Захарова А.Е;06.15.2021;1500-1240;DG06-1500-1240;DG;06;1500;1240;0,5;В;5;3;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
711;Захарова А.Е;06.15.2021;1500-1260;DG06-1500-1260;DG;06;1500;1260;0,5;В;5;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
712;Захарова А.Е;06.15.2021;1500-1280;DG66-1500-1280;DG;66;1500;1280;0,5;В;5;5;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
713;Захарова А.Е;06.15.2021;1500-1300;DG66-1500-1300;DG;66;1500;1300;0,5;В;5;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
714;Захарова А.Е;06.15.2021;1500-1320;DG66-1500-1320;DG;66;1500;1320;0,5;В;5;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
715;Захарова А.Е;06.15.2021;1500-1340;DG66-1500-1340;DG;66;1500;1340;0,5;В;5;6;2;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
716;Захарова А.Е;06.15.2021;1500-1360;DG66-1500-1360;DG;66;1500;1360;0,5;В;4;6;2;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
717;Захарова А.Е;06.15.2021;1520-1360;DG66-1520-1360;DG;66;1520;1360;0,5;В;6;4;2;3;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
718;Захарова А.Е;06.15.2021;1520-1340;DG66-1520-1340;DG;66;1520;1340;0,5;В;5;5;2;3;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
719;Гришукин И. В.;06.21.2021;1180-1400;DG06-1180-1400;DG;06;1180;1400;0,5;B;4;7;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
720;Гришукин И. В.;06.21.2021;1180-1380;DG06-1180-1380;DG;06;1180;1380;0,5;B;4;6;3;1;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
721;Гришукин И. В.;06.21.2021;1180-1360;DG06-1180-1360;DG;06;1180;1360;0,4;B;4;5;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
722;Гришукин И. В.;06.21.2021;1180-1340;DG06-1180-1340;DG;06;1180;1340;0,7;B-G;3;7;4;1;3;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
723;Гришукин И. В.;06.21.2021;1180-1320;DG06-1180-1320;DG;06;1180;1320;0,4;B;4;5;3;2;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
724;Гришукин И. В.;06.21.2021;1180-1300;DG06-1180-1300;DG;06;1180;1300;0,4;B;4;6;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
725;Гришукин И. В.;06.21.2021;1180-1280;DG06-1180-1280;DG;06;1180;1280;0,4;B;4;6;3;2;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
726;Гришукин И. В.;06.21.2021;1180-1260;DG06-1180-1260;DG;06;1180;1260;0,5;B;4;6;3;2;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
727;Гришукин И. В.;06.21.2021;1180-1240;DG06-1180-1240;DG;06;1180;1240;0,4;B;4;5;3;2;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
728;Гришукин И. В.;06.21.2021;1180-1220;DG06-1180-1220;DG;06;1180;1220;0,6;B;4;6;3;3;2;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
729;Гришукин И. В.;06.21.2021;1180-1200;DG06-1180-1200;DG;06;1180;1200;0,5;B;4;5;3;3;1;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
730;Гришукин И. В.;06.21.2021;1180-1180;DG06-1180-1180;DG;06;1180;1180;0,4;B;4;5;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
731;Гришукин И. В.;06.21.2021;1180-1160;DG06-1180-1160;DG;06;1180;1160;0,4;B;4;5;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
732;Гришукин И. В.;06.21.2021;1180-1140;DG06-1180-1140;DG;06;1180;1140;0,5;B;4;7;3;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
733;Гришукин И. В.;06.21.2021;1180-1120;DG06-1180-1120;DG;06;1180;1120;0,4;B;4;6;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
734;Гришукин И. В.;06.21.2021;1180-1100;DG06-1180-1100;DG;06;1180;1100;0,5;B;4;5;3;3;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
735;Гришукин И. В.;06.21.2021;1180-1080;DG06-1180-1080;DG;06;1180;1080;0,4;B;4;5;3;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
736;Гришукин И. В.;06.21.2021;1180-1060;DG06-1180-1060;DG;06;1180;1060;0,4;B;4;6;3;1;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
737;Гришукин И. В.;06.21.2021;1180-1040;DG06-1180-1040;DG;06;1180;1040;0,4;B;4;5;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
738;Гришукин И. В.;06.21.2021;1180-1020;DG06-1180-1020;DG;06;1180;1020;0,5;B;4;5;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
739;Гришукин И. В.;06.21.2021;1180-1000;DG06-1180-1000;DG;06;1180;1000;0,5;B;4;7;4;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
740;Гришукин И. В.;06.21.2021;1180-0980;DG06-1180-0980;DG;06;1180;0980;0,4;B;4;7;3;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
741;Гришукин И. В.;06.21.2021;1180-0960;DG06-1180-0960;DG;06;1180;0960;0,5;B;4;7;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
742;Гришукин И. В.;06.21.2021;1160-0960;DG06-1160-0960;DG;06;1160;0960;0,4;B;4;7;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
743;Гришукин И. В.;06.21.2021;1160-0980;DG06-1160-0980;DG;06;1160;0980;0,5;B;4;7;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
744;Гришукин И. В.;06.21.2021;1160-1000;DG06-1160-1000;DG;06;1160;1000;0,8;B;4;7;4;1;3;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
745;Гришукин И. В.;06.21.2021;1160-1020;DG06-1160-1020;DG;06;1160;1020;0,4;B;4;5;4;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
746;Гришукин И. В.;06.21.2021;1160-1040;DG06-1160-1040;DG;06;1160;1040;0,7;B;4;7;4;3;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
747;Гришукин И. В.;06.21.2021;1160-1060;DG06-1160-1060;DG;06;1160;1060;0,5;B;4;6;3;2;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
748;Гришукин И. В.;06.21.2021;1160-1080;DG06-1160-1080;DG;06;1160;1080;0,5;B;4;5;3;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
749;Гришукин И. В.;06.21.2021;1160-1100;DG06-1160-1100;DG;06;1160;1100;0,3;B;4;5;3;3;1;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
750;Гришукин И. В.;06.21.2021;1160-1120;DG06-1160-1120;DG;06;1160;1120;0,3;B;4;5;3;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
751;Гришукин И. В.;06.21.2021;1160-1140;DG06-1160-1140;DG;06;1160;1140;0,3;B;4;5;3;2;1;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
752;Гришукин И. В.;06.21.2021;1160-1160;DG06-1160-1160;DG;06;1160;1160;0,3;B;4;5;3;3;1;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
753;Гришукин И. В.;06.21.2021;1160-1180;DG06-1160-1180;DG;06;1160;1180;0,3;B;4;5;3;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
754;Гришукин И. В.;06.21.2021;1160-1200;DG06-1160-1200;DG;06;1160;1200;0,3;B;4;6;3;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
755;Гришукин И. В.;06.21.2021;1160-1220;DG06-1160-1220;DG;06;1160;1220;0,3;B;4;5;3;3;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
756;Гришукин И. В.;06.21.2021;1160-1240;DG06-1160-1240;DG;06;1160;1240;0,4;B;4;5;3;3;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
757;Гришукин И. В.;06.21.2021;1160-1260;DG06-1160-1260;DG;06;1160;1260;0,4;B;4;6;3;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
758;Гришукин И. В.;06.21.2021;1160-1280;DG06-1160-1280;DG;06;1160;1280;0,6;B;4;6;3;3;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
759;Гришукин И. В.;06.21.2021;1160-1300;DG06-1160-1300;DG;06;1160;1300;0,5;B;4;6;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
760;Гришукин И. В.;06.21.2021;1160-1320;DG06-1160-1320;DG;06;1160;1320;0,4;B;4;5;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
761;Гришукин И. В.;06.21.2021;1160-1340;DG06-1160-1340;DG;06;1160;1340;0,6;B;4;7;3;3;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
762;Гришукин И. В.;06.21.2021;1160-1360;DG06-1160-1360;DG;06;1160;1360;0,6;B;4;7;3;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
763;Гришукин И. В.;06.21.2021;1160-1380;DG06-1160-1380;DG;06;1160;1380;0,5;B;4;7;3;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
764;Гришукин И. В.;06.21.2021;1160-1400;DG06-1160-1400;DG;06;1160;1400;0,6;B;4;7;3;1;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
765;Гришукин И. В.;06.22.2021;1040-1340;DG06-1040-1340;DG;06;1040;1340;0,4;B-C;5;5;2;3;2;2;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
766;Гришукин И. В.;06.22.2021;1040-1320;DG86-1040-1320;DG;86;1040;1320;0,4;B-C;5;5;2;3;1;2;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
767;Гришукин И. В.;06.22.2021;1040-1300;DG06-1040-1300;DG;06;1040;1300;0,4;B;4;5;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
768;Гришукин И. В.;06.22.2021;1040-1280;DG06-1040-1280;DG;06;1040;1280;0,4;B;4;5;2;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
769;Гришукин И. В.;06.22.2021;1040-1260;DG06-1040-1260;DG;06;1040;1260;0,4;B;4;5;3;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
770;Гришукин И. В.;06.22.2021;1040-1240;DG06-1040-1240;DG;06;1040;1240;0,5;B;4;6;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
771;Гришукин И. В.;06.22.2021;1040-1220;DG06-1040-1220;DG;06;1040;1220;0,6;B;4;6;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
772;Гришукин И. В.;06.22.2021;1040-1200;DG06-1040-1200;DG;06;1040;1200;0,3;B;4;5;4;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
773;Гришукин И. В.;06.22.2021;1040-1180;DG06-1040-1180;DG;06;1040;1180;0,4;B;4;6;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
774;Гришукин И. В.;06.22.2021;1040-1160;DG06-1040-1160;DG;06;1040;1160;0,5;B;4;5;3;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
775;Гришукин И. В.;06.22.2021;1040-1140;DG06-1040-1140;DG;06;1040;1140;0,7;B;4;7;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
776;Гришукин И. В.;06.22.2021;1040-1120;DG06-1040-1120;DG;06;1040;1120;0,4;B;4;5;3;2;1;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
777;Гришукин И. В.;06.22.2021;1040-1100;DG06-1040-1100;DG;06;1040;1100;0,6;B;4;5;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
778;Гришукин И. В.;06.22.2021;1040-1080;DG06-1040-1080;DG;06;1040;1080;0,4;B;4;5;2;2;1;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
779;Гришукин И. В.;06.22.2021;1040-1060;DG06-1040-1060;DG;06;1040;1060;0,4;B;4;6;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
780;Гришукин И. В.;06.22.2021;1040-1040;DG06-1040-1040;DG;06;1040;1040;0,3;B;4;5;2;3;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
781;Гришукин И. В.;06.22.2021;1040-1020;DG06-1040-1020;DG;06;1040;1020;0,4;B;4;5;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
782;Гришукин И. В.;06.22.2021;1040-1000;DG06-1040-1000;DG;06;1040;1000;0,5;B;4;7;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
783;Гришукин И. В.;06.22.2021;1040-0980;DG06-1040-0980;DG;06;1040;0980;0,5;B;4;6;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
784;Гришукин И. В.;06.22.2021;1040-0960;DG06-1040-0960;DG;06;1040;0960;0,5;B;4;6;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
785;Гришукин И. В.;06.22.2021;1060-0960;DG06-1060-0960;DG;06;1060;0960;0,6;B;4;7;1;1;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
786;Гришукин И. В.;06.22.2021;1060-0980;DG06-1060-0980;DG;06;1060;0980;0,6;B;4;6;2;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
